token,is_ssn
560-26-8825Jordan,0
int743-73-6203o,0
I321-13-1066,0
imme867-56-6879diately,0
564-58-2797against,0
George089-67-4643,0
i874-56-0847n,0
an665-29-0742y,0
fro736-13-1424m,0
after724-60-3359ward,0
155-70-6853,1
171-17-3279,1
cou079-8aas1-8621rse,0
940-93-8122,1
972-60-7787555,0
number.953-21-8558,1
247-93-0742,1
049-60-3301.,1
conti262-43-1138nuous,0
111911-99-9101,0
078-44-905112,0
610-17-5675,1
l833-75-6425,0
096-40-1473,1
705-37-4805,1
570-64-1649,1
5:00342-08-6512-6:00,0
528-77-5762and,0
448-69-5910-122,0
1-732-46-2355,0
m394-57-9408-32332,0
299-65-4112listening,0
928-79-4279,1
trade412-76-4370mark,0
intel152-96-2208lectual,0
o557-52-4604n,0
t115-65-5620he,0
anyw859-47-9834here,0
111-22-33332,0
111-22-3333232,0
heellllo,0
asdad,0
asdad3asd3,0
dd32223,0
342423fdsd,0
